Source,Mission,year,month,location,country,latitude,longitude,No.troops,RPF,RPF_No,RES,RES_No,FP,FP_No,No.TCC,name.of.TCC1,No.troops.per.TCC1,name.of.TCC2,No.troops.per.TCC2,name.of.TCC3,No.troops.per.TCC3,name.of.TCC4,No.troops.per.TCC4,name.of.TCC5,No.troops.per.TCC5,name.of.TCC6,No.troops.per.TCC6,name.of.TCC7,No.troops.per.TCC7,name.of.TCC8,No.troops.per.TCC8,name.of.TCC9,No.troops.per.TCC9,name.of.TCC10,No.troops.per.TCC10,name.of.TCC11,No.troops.per.TCC11,name.of.TCC12,No.troops.per.TCC12,name.of.TCC13,No.troops.per.TCC13,name.of.TCC14,No.troops.per.TCC14,UNPOL..dummy.,UNMO..dummy.,HQ,LO,comments,cow_code,gwno,name,TCC1,TCC2,TCC3,TCC4,TCC5,TCC6,TCC7,TCC8,TCC9,TCC10,TCC11,TCC12,TCC13,TCC14,ADM1_id,ADM1_name,ADM2_id,ADM2_name,PRIOID
Map no. 4249 Rev. 03,UNMIS,2005,12,Wau,Sudan,7.702861,27.9953,15,NA,NA,0,0,0,0,1,Bangladesh,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,,625,625,Sudan,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,624,West Bahr-al-Ghazal,210035,Warab,140816
Map no. 4249 Rev. 03,UNMIS,2005,12,Yambio,Sudan,4.572131,28.395488,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,618,West Equatoria,210043,Yambio,136497
Map no. 4249 Rev. 03,UNMIS,2005,12,Yei,Sudan,4.095035,30.67792,35,NA,NA,0,0,0,0,1,Bangladesh,35,Bangladesh,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,771,771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,619,Central Equatoria,209997,Nahr Yei,135782
Map no. 4249 Rev. 04,UNMIS,2006,3,Adis Abeba,Ethiopia,9.024325,38.749226,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,,530,530,Ethiopia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2837,Addis Ababa,48210,Addis Abeba,142998
Map no. 4249 Rev. 04,UNMIS,2006,3,Lokichoggio,Kenya,4.207113,34.363843,unknown,NA,NA,0,0,0,0,unknown,unknown,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"""other"" troop type refers to LOG unit of unknown size and unknown TCC",501,501,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,566,Rift Valley,114702,Turkana West,135789
Map no. 4249 Rev. 04,UNMIS,2006,3,Abyei,Sudan,9.595247,28.434934,250,NA,NA,0,0,0,0,2,Zambia,235,India,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,,625,625,Sudan,551,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,720,South Kordufan,218873,Abyei,143697
Map no. 4249 Rev. 04,UNMIS,2006,3,Al Fasher,Sudan,13.633333,25.35,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,"HQ 3 refers to ""AMIS headquarter"", not the UNMIS HQ",625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,719,North Darfur,218763,Al Fasher,149451
Map no. 4249 Rev. 04,UNMIS,2006,3,Aweil,Sudan,8.768157,27.40019,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,217,North Bahr-al-Ghazal,210017,Aweil,142255
Map no. 4249 Rev. 04,UNMIS,2006,3,Bentiu,Sudan,9.233333,29.8333333,325,NA,NA,0,0,0,0,1,India,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,,625,625,Sudan,750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,Unity,210023,Rabkona,142980
Map no. 4249 Rev. 04,UNMIS,2006,3,Bor,Sudan,6.205931,31.556326,0,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,,625,625,Sudan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,621,Jungoli,210006,Bor,138664
